"Nest","Egg.Number","Egg.ID","Chick.ID","Egg.Volume","True.Lay.Seq"
"5001","1","5001-1","5001-1",30.8871456,1.5
"5001","2","5001-2","5001-2",34.48370667,1.5
"5001","3","5001-3","5001-3",35.03020798,3
"5001","4","5001-4","5001-4",32.1713078,4
"5001","5","5001-5","5001-5",34.429248,5
"5001","6","5001-6","5001-6",33.6223,6
"5001","7","5001-7","5001-7",32.83438,7
"5001","8","5001-8","5001-8",32.41955245,8
"5001","9","5001-9","5001-9",32.1713078,9
"5001","10","5001-10","5001-10",31.24611766,10
"5001","11","5001-11","5001-11",31.48033894,11
"5001","12","5001-12","5001-12",28.71836471,12
"5002","1","5002-1","5002-1",36.0998528,NA
"5002","2","5002-2","5002-2",36.06060474,NA
"5002","3","5002-3","5002-3",35.4051968,NA
"5002","4","5002-4","5002-4",35.52641427,4
"5002","5","5002-5","5002-5",34.13515981,5
"5002","6","5002-6","5002-6",34.4413482,6
"5002","7","5002-7","5002-7",33.84717987,7
"5002","8","5002-8","5002-8",34.08192,8
"5002","9","5002-9","5002-9",34.72748751,9
"5002","10","5002-10","5002-10",34.86569779,10
"5002","P1","5002-P1","5002-P1",35.653271,NA
"5002","P2","5002-P2","5002-P2",27.64102669,NA
"5002","P3","5002-P3","5002-P3",31.262828,NA
"5003","1","5003-1","5003-1",29.7228866,1.5
"5003","2","5003-2","5003-2",31.35348275,1.5
"5003","3","5003-3","5003-3",31.22662656,3
"5003","4","5003-4","5003-4",30.77521808,4
"5003","5","5003-5","5003-5",31.42639322,5
"5003","6","5003-6","5003-6",30.64685144,6
"5003","7","5003-7","5003-7",29.7439053,7
"5003","8","5003-8","5003-8",29.59969129,8
"5003","9","5003-9","5003-9",28.70906458,9
"5003","10","5003-10","5003-10",28.92595162,10
"5003","P1","5003-P1","5003-P1",32.81232896,NA
"5003","P2","5003-P2","5003-P2",NA,NA
"5004","1","5004-1","5004-1",34.07618962,1
"5004","2","5004-2","5004-2",36.94296258,2
"5004","3","5004-3","5004-3",35.36151923,3
"5004","4","5004-4","5004-4",35.31234445,4
"5004","5","5004-5","5004-5",36.1300832,5
"5004","6","5004-6","5004-6",36.77786493,6
"5004","7","5004-7","5004-7",39.4279304,7
"5004","P1","5004-P1","5004-P1",30.7012608,NA
"5004","P10","5004-P10","5004-P10",32.064416,NA
"5004","P11","5004-P11","5004-P11",30.90948608,NA
"5004","P12","5004-P12","5004-P12",31.5971312,NA
"5004","P13","5004-P13","5004-P13",31.36333336,NA
"5004","P14","5004-P14","5004-P14",31.00404184,NA
"5004","P15","5004-P15","5004-P15",33.30252401,NA
"5004","P2","5004-P2","5004-P2",29.9179311,NA
"5004","P3","5004-P3","5004-P3",31.9161182,NA
"5004","P4","5004-P4","5004-P4",29.43954038,NA
"5004","P5","5004-P5","5004-P5",NA,NA
"5004","P6","5004-P6","5004-P6",30.5923456,NA
"5004","P7","5004-P7","5004-P7",30.95892243,NA
"5004","P8","5004-P8","5004-P8",32.02368054,NA
"5004","P9","5004-P9","5004-P9",NA,NA
"5005","1","5005-1","5005-1",28.25854157,1.5
"5005","2","5005-2","5005-2",28.71836471,1.5
"5005","3","5005-3","5005-3",30.29176216,3
"5005","4","5005-4","5005-4",30.17001619,4
"5005","5","5005-5","5005-5",29.337248,5
"5005","6","5005-6","5005-6",30.2996896,6
"5005","7","5005-7","5005-7",30.00394249,7
"5005","8","5005-8","5005-8",29.2406072,8
"5005","9","5005-9","5005-9",28.83204013,9
"5005","10","5005-10","5005-10",29.11685981,10
"5005","P1","5005-P1","5005-P1",29.70327382,NA
"5007","7","5007-7",NA,30.239537,NA
"5007.1","1","5007.1-1","5007-1",30.65774403,NA
"5007.1","2","5007.1-2","5007-2",28.89241624,NA
"5007.1","3","5007.1-3","5007-3",26.42553413,NA
"5007.1","4","5007.1-4","5007-4",NA,NA
"5007.1","5","5007.1-5","5007-5",29.0071256,NA
